ticker,SWIndustry1,SWIndustry2,SWIndustry3
002636.SZ,801080.SI,801083.SI,850822.SI
002637.SZ,801030.SI,801034.SI,850334.SI
002638.SZ,801760.SI,801761.SI,852244.SI
002639.SZ,801890.SI,801072.SI,850715.SI
002640.SZ,801200.SI,801203.SI,852033.SI
002641.SZ,801710.SI,801713.SI,850616.SI
002642.SZ,801750.SI,801222.SI,852226.SI
002643.SZ,801030.SI,801034.SI,850339.SI
002644.SZ,801150.SI,801155.SI,851521.SI
002645.SZ,801890.SI,801074.SI,850728.SI
002646.SZ,801120.SI,801123.SI,851233.SI
002647.SZ,801790.SI,801191.SI,851921.SI
002648.SZ,801030.SI,801033.SI,850324.SI
002649.SZ,801750.SI,801222.SI,852226.SI
002650.SZ,801120.SI,801124.SI,851242.SI
002651.SZ,801890.SI,801074.SI,850725.SI
002652.SZ,801710.SI,801713.SI,850614.SI
002653.SZ,801150.SI,801151.SI,851512.SI
002654.SZ,801760.SI,801751.SI,852243.SI
002655.SZ,801080.SI,801085.SI,850851.SI
002656.SZ,801130.SI,801132.SI,851322.SI
002657.SZ,801750.SI,801222.SI,852226.SI
002658.SZ,801160.SI,801162.SI,851641.SI
002659.SZ,801760.SI,801761.SI,852244.SI
002660.SZ,801080.SI,801085.SI,850852.SI
002661.SZ,801120.SI,801124.SI,851244.SI
002662.SZ,801880.SI,801093.SI,850921.SI
002663.SZ,801720.SI,801725.SI,857251.SI
002664.SZ,801740.SI,801742.SI,857421.SI
002665.SZ,801730.SI,801733.SI,857334.SI
002666.SZ,801030.SI,801034.SI,850339.SI
002667.SZ,801890.SI,801074.SI,850725.SI
002668.SZ,801110.SI,801111.SI,851111.SI
002669.SZ,801030.SI,801034.SI,850339.SI
002670.SZ,801790.SI,801193.SI,851931.SI
002671.SZ,801710.SI,801713.SI,850616.SI
002672.SZ,801160.SI,801162.SI,851641.SI
002673.SZ,801790.SI,801193.SI,851931.SI
002674.SZ,801130.SI,801131.SI,851315.SI
002675.SZ,801150.SI,801151.SI,851512.SI
002676.SZ,801110.SI,801111.SI,851115.SI
002677.SZ,801110.SI,801111.SI,851114.SI
002678.SZ,801140.SI,801142.SI,851435.SI
002679.SZ,801010.SI,801011.SI,850131.SI
002681.SZ,801080.SI,801085.SI,850852.SI
002682.SZ,801170.SI,801178.SI,851781.SI
002683.SZ,801030.SI,801034.SI,850337.SI
002684.SZ,801880.SI,801093.SI,850921.SI
002685.SZ,801890.SI,801072.SI,850711.SI
002686.SZ,801890.SI,801072.SI,850716.SI
002687.SZ,801130.SI,801132.SI,851322.SI
002688.SZ,801010.SI,801018.SI,850181.SI
002689.SZ,801890.SI,801074.SI,850728.SI
002690.SZ,801890.SI,801074.SI,850727.SI
002691.SZ,801890.SI,801074.SI,850725.SI
002692.SZ,801730.SI,801734.SI,857344.SI
002693.SZ,801150.SI,801152.SI,851531.SI
002694.SZ,801710.SI,801713.SI,850616.SI
002695.SZ,801120.SI,801124.SI,851241.SI
002696.SZ,801010.SI,801015.SI,850122.SI
002697.SZ,801200.SI,801203.SI,852032.SI
002698.SZ,801890.SI,801074.SI,850725.SI
002699.SZ,801760.SI,801761.SI,852242.SI
002700.SZ,801160.SI,801163.SI,851631.SI
002701.SZ,801140.SI,801141.SI,851421.SI
002702.SZ,801120.SI,801124.SI,851244.SI
002703.SZ,801880.SI,801093.SI,850921.SI
002705.SZ,801110.SI,801111.SI,851114.SI
002706.SZ,801730.SI,801734.SI,857343.SI
002707.SZ,801210.SI,801214.SI,852131.SI
002708.SZ,801880.SI,801093.SI,850921.SI
002709.SZ,801030.SI,801034.SI,850339.SI
002711.SZ,NaN,NaN,NaN
002712.SZ,801760.SI,801751.SI,852243.SI
002713.SZ,801720.SI,801722.SI,857221.SI
002714.SZ,801010.SI,801017.SI,850171.SI
002715.SZ,801880.SI,801093.SI,850921.SI
002716.SZ,801050.SI,801054.SI,850544.SI
002717.SZ,801720.SI,801725.SI,857251.SI
002718.SZ,801710.SI,801713.SI,850614.SI
002719.SZ,801120.SI,801124.SI,851244.SI
002721.SZ,801140.SI,801142.SI,851434.SI
002722.SZ,801890.SI,801074.SI,850721.SI
002723.SZ,801110.SI,801111.SI,851114.SI
002724.SZ,801080.SI,801082.SI,850841.SI
002725.SZ,801880.SI,801093.SI,850921.SI
002726.SZ,801120.SI,801124.SI,851241.SI
002727.SZ,801150.SI,801154.SI,851541.SI
